Store,Date,Total_Produce_Sales
S0046,2013-01-01,384841.36
S0047,2013-01-01,350415.48
S0048,2013-01-01,294046.56
S0049,2013-01-01,208771.94
S0051,2013-01-01,263546.51
S0052,2013-01-01,522146.51
S0053,2013-01-01,210242.49
S0054,2013-01-01,432090.66
S0055,2013-01-01,313956.61
S0056,2013-01-01,187015.53
S0058,2013-01-01,238068.82
S0059,2013-01-01,288620.06
S0060,2013-01-01,251693.18
S0061,2013-01-01,324946.87
S0062,2013-01-01,258667.91
S0063,2013-01-01,226535.92
S0064,2013-01-01,231078.96
S0065,2013-01-01,312877.91
S0066,2013-01-01,248513.64
